mse,pearson,target_gene
0.7939003705978394,0.9983313,TCF3
1.3404133319854736,0.9886098,TADA1
1.615254282951355,0.99762136,FOXH1
7.110771179199219,0.9525959,SMARCA4
1.761269450187683,0.98600423,SMARCA5
0.37417393922805786,0.9972451,HIRA
0.2749885320663452,0.99853116,RAB3B
0.8000935316085815,0.9978448,IGF2R
2.265166759490967,0.9968847,SNCA
0.5396903157234192,0.9976844,TMBIM6
1.1568175554275513,0.9968376,DAXX
4.76278018951416,0.9687657,METTL14
0.6428748965263367,0.99467486,METTL17
1.1313269138336182,0.9972381,PRR12
2.962038040161133,0.9799331,EPB41L2
