mse,pearson,target_gene
50.30313491821289,0.9974674,TCF3
36.70354080200195,0.9895261,TADA1
45.981327056884766,0.9976691,FOXH1
32.643150329589844,0.955832,SMARCA4
44.34592819213867,0.9857826,SMARCA5
45.029991149902344,0.9977815,HIRA
48.224002838134766,0.9981457,RAB3B
48.53327941894531,0.9982692,IGF2R
41.110145568847656,0.99756426,SNCA
50.05923843383789,0.99779147,TMBIM6
43.80065155029297,0.9975865,DAXX
28.406461715698242,0.9687147,METTL14
41.27265930175781,0.9938469,METTL17
42.4332275390625,0.995163,PRR12
51.97403335571289,0.9848705,EPB41L2
